sex,age_group,province,education,birthplace,income_group,vote_Liberal,vote_Conservative,vote_NDP,vote_BQ,vote_Green,vote_People,vote_choice
Male,18-30,Quebec,Attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Male,18-30,Quebec,Attended university,Born in Canada,Middle household income,0,0,0,1,0,0,Bloc Québécois
Male,31-50,Quebec,Attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Male,70+,Quebec,Never attended university,Born in Canada,Low household income,0,0,0,1,0,0,Bloc Québécois
Male,18-30,Quebec,Never attended university,Born in Canada,Middle household income,0,0,0,0,1,0,Green Party
Male,18-30,Quebec,Attended university,Born in Canada,Low household income,0,0,0,1,0,0,Bloc Québécois
Male,51-70,Quebec,Never attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Male,31-50,Quebec,Never attended university,Born in Canada,High household income,1,0,0,0,0,0,People’s Party
Female,18-30,Quebec,Never attended university,Born in Canada,Low household income,0,0,0,0,0,0,People’s Party
Male,31-50,Quebec,Attended university,Born outside Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,18-30,Quebec,Attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Male,18-30,Quebec,Attended university,Born in Canada,Low household income,0,0,0,0,1,0,People’s Party
Male,51-70,Quebec,Never attended university,Born in Canada,Low household income,1,0,0,0,0,0,People’s Party
Male,18-30,Quebec,Never attended university,Born in Canada,Low household income,0,0,0,0,1,0,Green Party
Male,18-30,British Columbia,Attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Female,51-70,Quebec,Never attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,18-30,Quebec,Attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Female,18-30,Quebec,Attended university,Born in Canada,Middle household income,0,0,0,0,1,0,Green Party
Female,31-50,Quebec,Attended university,Born outside Canada,Middle household income,0,0,1,0,0,0,NDP
Female,18-30,Quebec,Never attended university,Born in Canada,Middle household income,1,0,0,0,0,0,People’s Party
Female,31-50,Quebec,Never attended university,Born outside Canada,Middle household income,0,0,0,1,0,0,Bloc Québécois
Female,31-50,Quebec,Attended university,Born in Canada,High household income,1,0,0,0,0,0,People’s Party
Male,31-50,Quebec,Attended university,Born in Canada,High household income,0,0,1,0,0,0,NDP
Male,31-50,Quebec,Never attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Male,31-50,Quebec,Never attended university,Born in Canada,High household income,0,0,0,0,0,1,People’s Party
Male,31-50,Quebec,Attended university,Born in Canada,High household income,0,0,1,0,0,0,NDP
Male,51-70,Quebec,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Female,31-50,Quebec,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,Quebec,Attended university,Born in Canada,High household income,0,0,1,0,0,0,People’s Party
Female,51-70,Quebec,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,18-30,Quebec,Never attended university,Born in Canada,Low household income,0,0,0,0,1,0,Green Party
Female,31-50,Quebec,Attended university,Born outside Canada,Low household income,0,1,0,0,0,0,Conservatives
Male,31-50,Quebec,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Female,31-50,Quebec,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,51-70,Quebec,Never attended university,Born in Canada,Middle household income,0,0,0,1,0,0,Bloc Québécois
Male,51-70,Quebec,Never attended university,Born in Canada,Low household income,0,0,0,1,0,0,Bloc Québécois
Female,31-50,Quebec,Attended university,Born in Canada,Middle household income,0,0,0,0,1,0,Green Party
Female,51-70,Quebec,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,People’s Party
Female,18-30,Quebec,Attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Female,31-50,Quebec,Attended university,Born in Canada,High household income,0,0,1,0,0,0,NDP
Female,31-50,Quebec,Attended university,Born outside Canada,High household income,1,0,0,0,0,0,Liberal
Male,31-50,Quebec,Attended university,Born outside Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,31-50,Quebec,Never attended university,Born in Canada,Low household income,0,0,0,0,0,0,People’s Party
Male,31-50,British Columbia,Attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Female,31-50,Quebec,Attended university,Born in Canada,High household income,0,0,0,0,1,0,People’s Party
Male,18-30,Quebec,Never attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Male,31-50,Quebec,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Quebec,Attended university,Born in Canada,Middle household income,0,0,0,0,0,1,People’s Party
Female,18-30,Quebec,Attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Male,18-30,Quebec,Attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Male,31-50,Quebec,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,People’s Party
Male,31-50,Quebec,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
